data,Val0,Val1,Val2,ttype,cellnames,gmm_cluster
Ephys,0.002412664,0.015597521,-0.004450404,Sst,SM-GE8WX_S049_E1-50,3
Ephys,0.002667122,0.012403548,-0.003461067,Sst,SM-GE8WX_S082_E1-50,3
Ephys,0.002912269,0.010755845,-0.002105839,Sst,SM-GE8WX_S073_E1-50,3
Ephys,0.003466634,0.012436009,-0.002097082,Sst,SM-GE8WX_S083_E1-50,3
Ephys,0.000925768,0.015262302,-0.00687082,Sst,SM-GE8WX_S092_E1-50,3
Ephys,-0.017912818,-0.005419846,0.004009989,Pvalb,SM-GE8WX_S084_E1-50,5
Ephys,-0.005562143,0.009389204,-0.005739577,Sst,SM-GE8WX_S075_E1-50,3
Ephys,-0.000553467,0.011865509,-0.00576672,Sst,SM-GE8X2_S109_E1-50,3
Ephys,-0.021817466,-0.009724741,0.006778966,Pvalb,SM-GE8WX_S076_E1-50,2
Ephys,-0.019521849,-0.009713798,0.008765604,Pvalb,SM-GE8WX_S086_E1-50,2
Ephys,-0.000780646,0.013454495,-0.007295945,Sst,SM-GE8X2_S110_E1-50,3
Ephys,-0.014533946,-0.00246469,0.002172105,Pvalb,SM-GE8WX_S093_E1-50,5
Ephys,-0.001356872,0.011624126,-0.006316065,Sst,SM-GE8X2_S111_E1-50,3
Ephys,0.004679603,0.010721049,0.000454937,Sst,SM-GE8X2_S112_E1-50,5
Ephys,0.009403852,-0.002387053,0.010321551,Vip,SM-GE8WX_S087_E1-50,5
Ephys,0.013617606,-0.004811611,0.019204735,Vip,SM-GE8WX_S088_E1-50,1
Ephys,-0.000205095,0.012576651,-0.006714149,Sst,SM-GE8WX_S079_E1-50,3
Ephys,-0.004112821,0.010648921,-0.006182114,Sst,SM-GE8X2_S123_E1-50,3
Ephys,0.013939783,-0.003852732,0.019348472,Vip,SM-GE8WX_S089_E1-50,1
Ephys,-0.002877328,0.011880707,-0.007570492,Sst,SM-GE8WX_S080_E1-50,3
Ephys,-0.000950116,0.01289485,-0.007100457,Sst,SM-GE8WX_S081_E1-50,3
Ephys,0.011696425,-0.003419547,0.01611025,Vip,SM-GE8WX_S096_E1-50,1
Ephys,-0.021270373,-0.009393095,0.005955391,Pvalb,SM-GE8X2_S131_E1-50,2
Ephys,-9.07E-06,0.01246453,-0.006185191,Sst,SM-GE8X2_S133_E1-50,3
Ephys,-0.015299649,-0.007111239,0.003721072,Pvalb,SM-GE8X2_S134_E1-50,5
Ephys,-0.004905221,0.010408554,-0.006570332,Sst,SM-GE8X2_S128_E1-50,3
Ephys,-0.002412581,0.013414975,-0.008555187,Sst,SM-GE8X2_S129_E1-50,3
Ephys,0.002992441,0.012779982,-0.003773685,Sst,SM-GE8X2_S130_E1-50,3
Ephys,-0.000626409,0.0136704,-0.007433919,Sst,SM-GE8X2_S136_E1-50,3
Ephys,-2.29E-05,0.013026141,-0.005865989,Sst,SM-GE8X2_S158_E1-50,3
Ephys,0.000861734,0.011531887,-0.005610919,Sst,SM-GE8X2_S147_E1-50,3
Ephys,-0.004192949,0.008230281,-0.003732705,Sst,SM-GE8X2_S140_E1-50,3
Ephys,-0.007197872,0.006478986,-0.004131929,Sst,SM-GE8X2_S148_E1-50,5
Ephys,-0.002337985,0.011454548,-0.007114308,Sst,SM-GE8X2_S141_E1-50,3
Ephys,-0.00284926,0.01120863,-0.006844144,Sst,SM-GE8X2_S149_E1-50,3
Ephys,-0.004324451,0.011081652,-0.007075207,Sst,SM-GE8X2_S150_E1-50,3
Ephys,-0.016275193,-0.002803288,0.002489861,Sst,SM-GE8X2_S142_E1-50,5
Ephys,-0.019123356,-0.007837255,0.005153285,Pvalb,SM-GE8X2_S159_E1-50,2
Ephys,-0.000284854,0.015479823,-0.008297267,Sst,SM-GE8X2_S151_E1-50,3
Ephys,-0.014984053,-0.007756921,0.004039894,Pvalb,SM-GE8X2_S143_E1-50,5
Ephys,0.014449016,-0.00542055,0.019786655,Vip,SM-GE8X2_S153_E1-50,1
Ephys,0.013897537,-0.005003841,0.018196455,Vip,SM-GE8X2_S154_E1-50,1
Ephys,-0.018939748,-0.007697022,0.004943613,Pvalb,SM-GE8X2_S145_E1-50,2
Ephys,0.010202069,-0.004764399,0.005375544,Vip,SM-GE8X2_S160_E1-50,5
Ephys,0.013079421,-0.002752304,0.016772036,Sncg,SM-GE8X2_S157_E1-50,1
Ephys,0.013706109,-0.004888036,0.016992303,Vip,SM-GE8X2_S161_E1-50,1
Ephys,-0.001354176,0.014376839,-0.008117149,Sst,SM-GE8X2_S183_E1-50,3
Ephys,-0.005783339,0.008669492,-0.005518843,Sst,SM-GE8X2_S174_E1-50,3
Ephys,0.004677442,0.010660964,-3.39E-05,Sst,SM-GE8X2_S192_E1-50,5
Ephys,-0.007737262,0.005852454,-0.004572165,Sst,SM-GE8X2_S184_E1-50,5
Ephys,-0.001818878,0.010104562,-0.004891013,Sst,SM-GE8X2_S175_E1-50,3
Ephys,-0.002484604,0.012844398,-0.008269058,Sst,SM-GE8X2_S176_E1-50,3
Ephys,0.000682392,0.014102171,-0.006856115,Sst,SM-GE8X2_S177_E1-50,3
Ephys,-0.00168057,0.01291524,-0.007117414,Sst,SM-GE8X2_S169_E1-50,3
Ephys,-0.002942996,0.008269055,-0.007458863,Sst,SM-GE8X2_S170_E1-50,3
Ephys,-0.011764217,-0.002575033,0.000589113,Sst,SM-GE8X2_S171_E1-50,5
Ephys,0.012245391,-0.000938899,0.016277085,Vip,SM-GE8X2_S178_E1-50,1
Ephys,-0.01331022,-0.004577906,0.002067501,Pvalb,SM-GE8X2_S187_E1-50,5
Ephys,-0.002002155,0.013402245,-0.007749339,Sst,SM-GE8X2_S188_E1-50,3
Ephys,-0.019696553,-0.007682898,0.005058833,Pvalb,SM-GE8X2_S179_E1-50,2
Ephys,-0.022908175,-0.010779292,0.00762331,Pvalb,SM-GE8X2_S189_E1-50,2
Ephys,-0.021759206,-0.010353755,0.006721423,Pvalb,SM-GE8X2_S180_E1-50,2
Ephys,-0.003058749,0.010809423,-0.00490742,Sst,SM-GE681_S027_E1-50,3
Ephys,-0.003566647,0.011056774,-0.006839106,Sst,SM-GE8X2_S172_E1-50,3
Ephys,-0.020084398,-0.007370428,0.005486072,Pvalb,SM-GE8X2_S181_E1-50,2
Ephys,-0.010819574,-0.00034071,0.00014855,Pvalb,SM-GE8X2_S191_E1-50,5
