"data","Val0","Val1","Val2","class","cellnames","gmm_cluster"
"Ephys",0.013432839048351,-0.00320764360238676,0.0191756540112973,"Vip","SM-GE64F_S105_E1-50",1
"Ephys",0.00413805246589964,-0.0150537477553245,-0.0160138801107641,"Lamp5","SM-GE64F_S106_E1-50",5
"Ephys",0.000785855406498809,0.0154525535894725,-0.00716705368267147,"Sst","SM-GE64L_S048_E1-50",3
"Ephys",0.00762775564882843,-0.01893634028405,-0.0191487263320529,"Lamp5","SM-GE64F_S101_E1-50",4
"Ephys",0.00652291778074176,0.010365050059591,0.00288218747197262,"Sst","SM-GE64F_S108_E1-50",5
"Ephys",0.0121601748498269,-0.0258343625586196,-0.0282493410836872,"Lamp5","SM-GE64F_S118_E1-50",4
"Ephys",0.00657678942231532,-0.00945117806288474,-0.00631724588064554,"Lamp5","SM-GE64F_S110_E1-50",5
"Ephys",0.00963283500691971,-0.020493665661826,-0.0209773539047683,"Lamp5","SM-GE64F_S119_E1-50",4
"Ephys",0.0109745357334566,-0.0244676369235878,-0.0274022038958201,"Lamp5","SM-GE64F_S120_E1-50",4
"Ephys",0.00739305432030777,-0.0114538645021119,-0.00800394294935832,"Lamp5","SM-GE64F_S128_E1-50",5
"Ephys",0.0108440467986411,-0.0223524565531431,-0.0236441077302536,"Lamp5","SM-GE64F_S129_E1-50",4
"Ephys",0.00851904965184578,-0.0161962349669909,-0.0171500160901132,"Lamp5","SM-GE64F_S135_E1-50",5
"Ephys",0.0116774755824103,-0.0255347919049581,-0.0281590478991762,"Lamp5","SM-GE64F_S130_E1-50",4
"Ephys",0.0117803924422565,-0.0257671019361247,-0.0285734059880891,"Lamp5","SM-GE64F_S131_E1-50",4
"Ephys",0.0117179310593392,-0.0255578060472181,-0.0278965039444516,"Lamp5","SM-GE64F_S146_E1-50",4
"Ephys",-0.000200998794978023,0.0106754068075951,-0.00471772137019785,"Sst","SM-GE64F_S147_E1-50",3
"Ephys",0.0100592876371365,-0.0174447090157788,-0.0175295866879126,"Lamp5","SM-GE64F_S151_E1-50",4
"Ephys",0.0100979448921113,-0.0210650765585495,-0.019910042015456,"Lamp5","SM-GE64F_S148_E1-50",4
"Ephys",-0.0157415828278626,-0.0017084100184909,0.00206781877747295,"Pvalb","SM-GE64F_S152_E1-50",5
"Ephys",0.0116900488793919,-0.0254801011749952,-0.0278093221470333,"Lamp5","SM-GE64F_S125_E1-50",4
"Ephys",0.0107461604305739,-0.00389118146075269,0.0138521481717768,"Vip","SM-GE64F_S162_E1-50",5
"Ephys",6.55570031559038e-05,0.0127635658980951,-0.00683694945657194,"Sst","SM-GE64F_S163_E1-50",3
"Ephys",-0.0014968283009202,0.0120300412210365,-0.00663002667013295,"Sst","SM-GE64F_S164_E1-50",3
"Ephys",0.0129895980825122,-0.00538640344574177,0.0157168871918823,"Vip","SM-GE64F_S153_E1-50",1
"Ephys",0.0135769770848006,-0.00404396114642109,0.0183363421452068,"Vip","SM-GE64F_S154_E1-50",1
"Ephys",0.00825510911155317,-0.0145481972791561,-0.0136975955143605,"Lamp5","SM-GE64F_S166_E1-50",5
"Ephys",0.00870493956985242,-0.0159551287482663,-0.0136380598509994,"Lamp5","SM-GE64F_S176_E1-50",5
"Ephys",-0.0116233769315875,-0.00443252060836359,0.00281488148486082,"Pvalb","SM-GE64F_S155_E1-50",5
